Uniform Resource Identifier;;Naam;Toelichting voor programmeur;Data voorbeeld;Toelichting van Business;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#Adresgegevens;type; Adresgegevens; De class Adresgegevens is de representatie van de adresgegevens van een Cultuurhistorische Object.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#ArcheologischComplex;type; Archeologisch complex; De class ArcheologischComplex is de representatie van een verzameling, in tijd en ruimte, geasiocceerde vondsten en/of grondsporen.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#ArcheologischOnderzoeksgebied;type; Archeologisch onderzoeksgebied; De class ArcheologischOnderzoeksgebied is de representatie van een ruimtelijk begrensd gebied, waarin archeologisch onderzoek wordt uitgevoerd door de vergunninghouder tot het doen van onderzoek.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#ArcheologischTerrein;type; Archeologisch terrein; De class ArcheologischTerrein is de representatie van een ruimtelijk begrensd gebied waarbinnen zich archeologische informatie bevind.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#ArcheologischeKwaliteit;type; Archeologische kwaliteit; De class ArcheologischeKwaliteit is een subclass van kennisregistratie en is de representatie van de archeologische kwaliteit met betrekking tot een cultuurhistorisch object.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#BasisregistratieRelatie;type; Basisregistratie relatie; De class BasisregistratieRelatie is de representatie van de administratieve vastlegging van de relatie tussen een cultuurhistorisch object en een instantie in een basisregistratie.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#Bodemgebruik;type; Bodemgebruik; ;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#BouwkundigeKwaliteit;type; Bouwkundige kwaliteit; De class BouwkundigeKwaliteit is een subclass van Kennisregistratie en is de representatie van de bouwkundige kwaliteit met betrekking tot een cultuurhistorisch object.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#Bronverwijzing;type; Bronverwijzing; De class Bronverwijzing is een subclass van Kennisregistratie en is de representatie van de bronverwijzing met betrekking tot een cultuurhistorisch object.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#Complex;type; Complex; De class Complex is de representatie van beschrijvende of waarderende samenhang tussen rijksmonumenten, die als een complex zijn aangewezen. Deze samenhang is niet noodzakelijk voor de identificatie van die rijksmonumenten.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#CultuurhistorischObject;type; Cultuurhistorisch object; De class CultuurhistorischObject is de representatie van een fenomeen in de werkelijkheid met een zekere cultuurhistorische waarde.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#Datering;type; Datering; De class datering is een representatie van de tijdsaanduiding die een Cultuurhistorisch Object kan hebben.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#Functie;type; Functie; De class Functies is een subclass van kennisregistratie en is de representatie van de functie met betrekking tot een cultuurhistorisch object.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#Gebeurtenis;type; Gebeurtenis; De class Gebeurtenis is een subclass van kennisregistratie en is de representatie van vastgelegde gebeurtenissen met betrekking tot een cultuurhistorisch object.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#Geometrie;type; Geometrie; De class Geometrie is de representatie van de geometrie van een cultuurhistorisch object.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#Grondsporen;type; Grondsporen; De class Grondsporen is een representatie van een duidelijk begrensbaar verschijnsel van antropogene of natuurlijke oorsprong.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#JuridischeStatus;type; Juridische status; De class JuridischeStatus is de representatie van de mogelijke juridische statussen die een rijksmonument kan hebben.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#Kennisregistratie;type; Kennisregistratie; De class Kennisregistratie is de representatie van vastgelegde kennis feiten met betrekking tot een cultuurhistorisch object.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#LocatieAanduiding;type; Locatie aanduiding; De class LocatieAanduiding is de representatie van de locatie aanduiding met betrekking tot een cultuurhistorisch object.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#Materiaal;type; Materiaal; De class Materiaal is een subclass van kennisregistratie en is de representatie van vastgelegde materialen met betrekking tot een cultuurhistorisch object.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#MaterieleFormeleHistorie;type; Materiele formele historie; De class MaterieleFormeleHistorie is de representatie van de materiele en formele historie betreffende de samenhang, geometrie, locatie aanduiding, basisregistratie en cultuurhistorisch object.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#MonumentAard;type; Monument aard; De class MonumentAard is de representatie van de waarde die aangeeft of de aard van een monument archeologisch of gebouwd is.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#Naam;type; Naam; De class Naam is een subclass van kennisregistratie en is de representatie van vastgelegde namen met betrekking tot een cultuurhistorisch object.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#Omschrijving;type; Omschrijving; De class Omschrijving is een subclass van kennisregistratie en is de representatie van vastgelegde omschrijvingen met betrekking tot een cultuurhistorisch object.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#Rijksmonument;type; Rijksmonument; De class Rijksmonument is een representatie van onroerende cultuurhistorische objecten die als rijksmonument zijn aangewezen.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#Samenhang;type; Samenhang; De class Samenhang is de representatie van de relatie tussen twee cultuurhistorische objecten.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#StijlEnCultuur;type; Stijl en cultuur; De class StijlEnCultuur is een subclass van kennisregistratie en is de representatie van de stijl en cultuur met betrekking tot een cultuurhistorisch object.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#Tijdvak;type; Tijdvak; De class Tijdvak is de representatie van vastgelegde tijdvakken met betrekking tot een cultuurhistorisch object.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#Type;type; Type; De class Type is een subclass van kennisregistratie en is de representatie van vastgelegde typen met betrekking tot een cultuurhistorisch object.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#Vondsten;type; Vondsten; De class Vondsten is een representatie van alle soorten mobilia: roerende of roerend geraakte onderdelen van onroerende goederen, afkomstig van archeologisch veldwerk of archeologische collecties.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#Zichtbaarheid;type; Zichtbaarheid; De class Zichtbaarheid is de representatie van de relatie tussen een cultuurhistorische object en de Zichtbaarheid.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#aantal; relatie; Aantal; De property aantal wordt gebruikt om aan te geven het aantal grondsporen en vondsten.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#actor; relatie; Actor; De property actor wordt gebruikt om aan te geven de actor die een rol speelt bij een cultuurhistorisch object vast.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#appartementAanduiding; relatie; Appartement aanduiding; De property appartementAanduiding wordt gebruikt om aan te geven of een appartement aanduiding aan een rijksmonument is gegeven.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#archis2Complexnummer; relatie; Archis2 complexnummer; De property archis2Complexnummer wordt gebruikt om aan te geven of een complexnummer uit Archis 2 aan een archeologisch complex is gekoppeld.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#archis2Monumentnummer; relatie; Archis2 monumentnummer; De property archis2Monumentnummer wordt gebruikt om aan te geven of een monumentnummer uit Archis 2 aan een archeologisch terrein is gekoppeld.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#archis2Vondstnummer; relatie; Archis2 vondstnummer; De property archis2Vondstnummer wordt gebruikt om aan te geven of een vondstnummer uit Archis 2 aan een vondst, grondspoor is gekoppeld.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#asWKT-RD; relatie; asWKT-RD; De property asWKT-RD legt de relatie vast tussen een cultuurhistorisch object en een geometrie volgens EPSG:28992 het Rijksdriehoekstelsel (RD).;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#beginGeldigheid; relatie; Begin geldigheid; De property beginGeldigheid wordt gebruikt om aan te geven welke begin geldigheidsdatum is gekoppeld aan een instance.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#beginRegistratie; relatie; Begin registratie; De property beginRegistratie wordt gebruikt om aan te geven welke begin registratiedatum is gekoppeld aan een instance.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#bevatObject; relatie; Bevat object; De property bevatObject legt de relatie tussen de ligging en de samenhang met betrekking tot een rijksmonument vast.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#bronIdentificatie; relatie; bronIdentificatie; De property bronIdentificatie wordt gebruikt om aan te geven de identificatie van een bron.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#buurtOfWijkCode; relatie; Buurt of wijk code; De property buurtOfWijkCode wordt gebruikt om aan te geven welke buurt of wijk code is gekoppeld aan het rijksmonument.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#buurtOfWijkNaam; relatie; Buurt of wijk naam; De property buurtOfWijkNaam wordt gebruikt om aan te geven welke buurt of wijk naam is gekoppeld aan het rijksmonument.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#complexBevat; relatie; Complex bevat; De property complexBevat legt de relatie tussen het complex en de samenhang met betrekking tot een rijksmonument vast.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#complexnummer; relatie; Complexnummer; De property complexnummer wordt gebruikt om aan te geven het unieke nummer waaronder het complex van rijksmonumenten bekend is in het monumentenregister.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#complexomschrijving; relatie; Complexomschrijving; De property complexomschrijving wordt gebruikt om aan te geven de korte aanduiding, of omschrijving, die volstaat om vast te stellen over welke complexen het gaat.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#cultuurhistorischObjectnummer; relatie; Cultuurhistorisch objectnummer; De property cultuurhistorischObjectnummer wordt gebruikt om aan te geven of een cultuurhistorischObjectnummer aan een Cultuurhistorisch object is gegeven.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#datumInschrijvingInMonumentenregister; relatie; Datum inschrijving in monumentenregister; De property datumInschrijvingInMonumentenregister wordt gebruikt om aan te geven de inschrijvingsdatum van het rijksmonument in het monumentenregister.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#deelperceelnummer; relatie; Deelperceelnummer; De property deelperceelnummer wordt gebruikt om aan te geven of een deelperceelnummer aan een rijksmonument is gegeven.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#eindGeldigheid; relatie; Eind geldigheid; De property eindGeldigheid wordt gebruikt om aan te geven welke eind geldigheidsdatum is gekoppeld aan een instance.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#eindRegistratie; relatie; Eind registratie; De property eindRegistratie wordt gebruikt om aan te geven welke eind registratiedatum is gekoppeld aan een instance.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#einddatum; relatie; Einddatum; De property einddatum wordt gebruikt om aan te geven welke einddatum is gekoppeld aan een instance.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#formeelStandpunt; relatie; Formeel standpunt; De property formeelstandpunt wordt gebruikt om aan te geven of de kennisregistratie een formeel standpunt betreft.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#gemeenteCode; relatie; Gemeente code; De property plaatsCode wordt gebruikt om aan te geven welke gemeente code is gekoppeld aan het rijksmonument.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#geometrieIdentificatie; relatie; Geometrie identificatie; De property geometrieIdentificatie wordt gebruikt om aan te geven welke geometrische identificatie aan de geometrie is gekoppeld.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#heeftActor; relatie; Heeft actor; De property heeftActor legt de relatie tussen de ActorEnRol en de actor met betrekking tot een cultuurhistorisch object vast.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#heeftActorEnRol; relatie; Heeft actor en rol; De property heeftActorEnRol legt de relatie tussen de gebeurtenis en de actor en zijn rol met betrekking tot een cultuurhistorisch object vast.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#heeftArcheologischeKwaliteit; relatie; Heeft archeologische kwaliteit; De property heeftArcheologischeKwaliteit legt de relatie tussen een cultuurhistorische object en de archeologische kwaliteit vast.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#heeftArcheologischeWaarde; relatie; Heeft Archeologische waarde; De property heeftArcheologischeWaarde legt de relatie tussen de archeologische kwaliteit en de archeologische waarde met betrekking tot een cultuurhistorisch object vast.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#heeftArcheologischeWaardering; relatie; Heeft Archeologische waardering; De property heeftArcheologischeWaardering legt de relatie tussen het archeologisch terrein en de archeologische waardering vast.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#heeftBAGObject; relatie; Heeft BAG-object; De property heeftBAGObject legt de relatie tussen de basisregistratie en het BAG-object vast.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#heeftBasisregistratie; relatie; Heeft basisregistratie  relatie; De property heeftBasisregistratie legt de relatie tussen het cultuurhistorisch object en de basisregistratie relatie vast.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#heeftBebouwdeKomType; relatie; Heeft bebouwde kom type; De property heeftBebouwdeKomtype legt de relatie tussen het rijksmonument en het bebouwde kom type vast.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#heeftBetrekkingOp; relatie; Heeft betrekking op; De property heeftBetrekkingOp legt de relatie tussen de kennisregistratie en het cultuurhistorisch object vast.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#heeftBetrouwbaarheid; relatie; Heeft betrouwbaarheid; De property heeftBetrouwbaarheid legt de relatie tussen de datering en de mate van betrouwbaarheid vast.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#heeftBodemgebruik; relatie; Heeft bodemgebruik; De property heeftBodemgebruik legt de relatie tussen een cultuurhistorisch object en het bodemgebruik vast.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#heeftBodemgebruikNaam; relatie; Heeft bodemgebruiknaam; De property heeftBodemgebruiknaam legt de relatie tussen het bodemgebruik en de naam van het  bodemgebruik vast.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#heeftBouwkundigeKwaliteit; relatie; Heeft bouwkundige kwaliteit; De property heeftBouwkundigeKwaliteit legt de relatie tussen een cultuurhistorisch object en de bouwkundige kwaliteit vast.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#heeftBouwkundigeStaat; relatie; Heeft bouwkundige staat; De property heeftBouwkundigeStaat legt de relatie tussen de BouwkundigeKwaliteit en de bouwkundige staat met betrekking tot een cultuurhistorisch object vast. {}.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#heeftBronhouder; relatie; Heeft bronhouder; De property heeftBronhouder legt de relatie tussen de bronverwijzing en de bronhouder met betrekking tot een cultuurhistorisch object vast.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#heeftBrontype; relatie; Heeft brontype; De property heeftBrontype legt de relatie tussen de bronverwijzing en de brontype met betrekking tot een cultuurhistorisch object vast.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#heeftBronverwijzing; relatie; Heeft bronverwijzing; De property heeftBronverwijzing legt de relatie tussen een cultuurhistorische object en de bronverwijzing vast.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#heeftConservering; relatie; Heeft conservering; De property heeftConservering legt de relatie tussen de archeologische kwaliteit en de conservering met betrekking tot een cultuurhistorisch object.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#heeftdatering; relatie; Heeft datering; De property heeftdatering legt de relatie tussen een gebeurtenis en de datering met betrekking tot een cultuurhistorisch object vast.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#heeftdateringsmethode; relatie; Heeft dateringsmethode; De property heeftdatering legt de relatie tussen een gebeurtenis en de dateringsmethode vast.;;;;
